country	detected	healed	deceased	date
Japan	29	9	1	14.02.20
Südkorea	28	7	0	14.02.20
Malaysia	19	3	0	14.02.20
Taiwan	18	2	0	14.02.20
Vietnam	16	7	0	14.02.20
Australien	15	8	0	14.02.20
Deutschland	14	1	0	14.02.20
USA	13	3	0	14.02.20
Frankreich	11	2	0	14.02.20
Großbritannien	9	1	0	14.02.20
Vereinigte Arabische Emirate	8	1	0	14.02.20
Kanada	7	1	0	14.02.20
Indien	3	0	0	14.02.20
Italien	3	0	0	14.02.20
Philippinen	3	1	1	14.02.20
Russland	2	2	0	14.02.20
Spanien	2	0	0	14.02.20
Ägypten	1	0	0	14.02.20
Belgien	1	0	0	14.02.20
Finnland	1	1	0	14.02.20
Kambodscha	1	1	0	14.02.20
Nepal	1	1	0	14.02.20
Schweden	1	0	0	14.02.20
Sri Lanka	1	1	0	14.02.20
China	68413	9298	1663	15.02.20
Kreuzfahrtschiffe und Sonstige	285	0	0	15.02.20
Singapur	72	18	0	15.02.20
Japan	43	12	1	15.02.20
Thailand	33	12	0	15.02.20
Südkorea	28	9	0	15.02.20
Malaysia	22	7	0	15.02.20
Taiwan	18	2	0	15.02.20
Vietnam	16	7	0	15.02.20
Australien	15	8	0	15.02.20
Deutschland	14	1	0	15.02.20
USA	13	3	0	15.02.20
Frankreich	12	4	1	15.02.20
Großbritannien	9	1	0	15.02.20
Vereinigte Arabische Emirate	8	3	0	15.02.20
Kanada	7	1	0	15.02.20
Indien	3	0	0	15.02.20
Italien	3	0	0	15.02.20
Philippinen	3	1	1	15.02.20
Russland	2	2	0	15.02.20
Spanien	2	2	0	15.02.20
Ägypten	1	0	0	15.02.20
Belgien	1	0	0	15.02.20
Finnland	1	1	0	15.02.20
Kambodscha	1	1	0	15.02.20
Nepal	1	1	0	15.02.20
Schweden	1	0	0	15.02.20
Sri Lanka	1	1	0	15.02.20
China	70513	10755	1766	16.02.20
Kreuzfahrtschiffe und Sonstige	355	0	0	16.02.20
Singapur	75	18	0	16.02.20
Japan	59	12	1	16.02.20
Thailand	34	14	0	16.02.20
Südkorea	29	9	0	16.02.20
Malaysia	22	7	0	16.02.20
Taiwan	20	2	1	16.02.20
Vietnam	16	7	0	16.02.20
Australien	15	8	0	16.02.20
Deutschland	14	1	0	16.02.20
USA	13	3	0	16.02.20
Frankreich	12	4	1	16.02.20
Großbritannien	9	8	0	16.02.20
Vereinigte Arabische Emirate	9	4	0	16.02.20
Kanada	7	1	0	16.02.20
Indien	3	3	0	16.02.20
Italien	3	0	0	16.02.20
Philippinen	3	1	1	16.02.20
Russland	2	2	0	16.02.20
Spanien	2	2	0	16.02.20
Ägypten	1	0	0	16.02.20
Belgien	1	0	0	16.02.20
Finnland	1	1	0	16.02.20
Kambodscha	1	1	0	16.02.20
Nepal	1	1	0	16.02.20
Schweden	1	0	0	16.02.20
Sri Lanka	1	1	0	16.02.20
China	72434	12462	1864	17.02.20
Kreuzfahrtschiffe und Sonstige	454	0	0	17.02.20
Singapur	77	24	0	17.02.20
Japan	66	12	1	17.02.20
Thailand	35	15	0	17.02.20
Südkorea	30	10	0	17.02.20
Malaysia	22	7	0	17.02.20
Taiwan	22	2	1	17.02.20
Vietnam	16	7	0	17.02.20
Australien	15	10	0	17.02.20
Deutschland	14	7	0	17.02.20
USA	13	3	0	17.02.20
Frankreich	12	4	1	17.02.20
Großbritannien	9	8	0	17.02.20
Vereinigte Arabische Emirate	9	4	0	17.02.20
Kanada	8	1	0	17.02.20
Indien	3	3	0	17.02.20
Italien	3	0	0	17.02.20
Philippinen	3	1	1	17.02.20
Russland	2	2	0	17.02.20
Spanien	2	2	0	17.02.20
Ägypten	1	0	0	17.02.20
Belgien	1	1	0	17.02.20
Finnland	1	1	0	17.02.20
Kambodscha	1	1	0	17.02.20
Nepal	1	1	0	17.02.20
Schweden	1	0	0	17.02.20
Sri Lanka	1	1	0	17.02.20
China	74211	14206	2003	18.02.20
Kreuzfahrtschiffe und Sonstige	542	0	0	18.02.20
Singapur	81	29	0	18.02.20
Japan	74	13	1	18.02.20
Thailand	35	15	0	18.02.20
Südkorea	31	12	0	18.02.20
Malaysia	22	13	0	18.02.20
Taiwan	22	2	1	18.02.20
